               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.057437,           0.0087903,           0.0019485,              0.8067,             0.88333,             0.91887,             0.42433,            0.051987,            0.005784,           0.0019302,           0.0097773,           0.0097773,           0.0097773
                  92,            0.058758,           0.0080766,           0.0021538,             0.79524,             0.90208,             0.87553,             0.41499,            0.051519,           0.0057697,           0.0019016,           0.0097748,           0.0097748,           0.0097748
                  93,            0.060461,           0.0083068,           0.0022113,             0.76588,             0.91771,             0.87028,             0.39014,            0.053293,            0.006031,           0.0018833,           0.0097723,           0.0097723,           0.0097723
                  94,            0.057442,           0.0081128,           0.0019545,             0.80852,             0.91786,             0.90762,             0.43822,            0.051436,            0.005888,           0.0017071,           0.0097698,           0.0097698,           0.0097698
                  95,            0.056323,           0.0083735,           0.0020738,             0.88794,             0.91667,             0.96767,             0.48885,            0.044277,           0.0057554,           0.0017702,           0.0097674,           0.0097674,           0.0097674
                  96,            0.054252,           0.0071282,           0.0021969,             0.74929,             0.98333,             0.93242,             0.46479,            0.045324,           0.0057869,           0.0017435,           0.0097649,           0.0097649,           0.0097649
                  97,            0.057375,           0.0084726,            0.002214,              0.8151,             0.93094,              0.9336,             0.49798,            0.044378,           0.0056906,           0.0017002,           0.0097624,           0.0097624,           0.0097624
                  98,            0.055295,           0.0082058,           0.0020845,             0.83577,              0.9654,             0.95927,             0.50744,            0.045798,           0.0057135,           0.0016176,           0.0097599,           0.0097599,           0.0097599
                  99,            0.055558,           0.0079163,           0.0023422,             0.89101,             0.82023,             0.90608,             0.44918,            0.054064,           0.0054893,           0.0018181,           0.0097575,           0.0097575,           0.0097575
                 100,            0.056426,           0.0078345,           0.0027914,             0.88427,             0.77524,             0.89292,             0.46218,            0.051181,           0.0056171,           0.0020941,            0.009755,            0.009755,            0.009755
                 101,             0.05934,           0.0076468,           0.0031239,             0.83248,             0.87143,             0.91121,             0.41943,            0.049002,           0.0056934,           0.0021523,           0.0097525,           0.0097525,           0.0097525
                 102,            0.054777,           0.0084909,           0.0025393,             0.87491,             0.84185,               0.904,             0.42676,            0.050467,           0.0056591,           0.0019339,             0.00975,             0.00975,             0.00975
                 103,            0.056536,           0.0077247,           0.0023407,             0.75844,             0.93687,             0.92268,             0.45857,            0.048152,           0.0057907,           0.0018986,           0.0097476,           0.0097476,           0.0097476
                 104,            0.055582,            0.008136,           0.0023176,             0.72492,             0.95513,             0.91999,             0.48805,            0.044038,           0.0057793,           0.0018801,           0.0097451,           0.0097451,           0.0097451
                 105,             0.05557,           0.0077992,           0.0022356,             0.73573,             0.88438,             0.91281,              0.5056,            0.046082,           0.0056763,           0.0018171,           0.0097426,           0.0097426,           0.0097426
                 106,            0.057467,           0.0077061,           0.0023071,             0.90438,             0.86391,             0.95174,             0.52894,            0.045703,           0.0056572,           0.0017355,           0.0097401,           0.0097401,           0.0097401
                 107,             0.05381,           0.0071814,           0.0022762,             0.89593,             0.87284,             0.92517,             0.42908,            0.048763,           0.0057554,           0.0018991,           0.0097377,           0.0097377,           0.0097377
                 108,            0.053464,            0.007217,           0.0020941,             0.90525,             0.89833,               0.971,             0.51323,            0.045443,           0.0056133,           0.0018368,           0.0097352,           0.0097352,           0.0097352
